Country,Region,Year,Happiness_Rank,Happiness_Score,GDP_per_Capita,Social_support,Life_Expectancy,Freedom,Generosity,Corruption
Philippines,Asia,2019,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,Europa,2019,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,Europa,2019,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0
Libya,Africa,2019,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,Europa,2019,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Tajikistan,Asia,2019,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144
Croatia,Europa,2019,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Hong Kong,Asia,2019,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287
Dominican Republic,North_America,2019,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,Europa,2019,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,Asia,2019,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106
Malaysia,Asia,2019,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Belarus,Europa,2019,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Greece,Europa,2019,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034
Mongolia,Asia,2019,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038
Macedonia,Europa,2019,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,Africa,2019,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,Asia,2019,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023
Turkmenistan,Asia,2019,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Morocco,Africa,2019,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,Asia,2019,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,Asia,2019,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,Asia,2019,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028
China,Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1
Vietnam,Asia,2019,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,Asia,2019,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167
Cameroon,Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037
Bulgaria,Europa,2019,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,Africa,2019,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04
Ivory Coast,Africa,2019,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09
Nepal,Asia,2019,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,Asia,2019,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13
Benin,Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,Africa,2019,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055
Laos,Asia,2019,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164
South Africa,Africa,2019,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Albania,Europa,2019,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,South_America,2019,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047
Cambodia,Africa,2019,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,Asia,2019,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,Africa,2019,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Somalia,Africa,2019,112,4.668,0.0,0.698,0.268,0.559,0.243,0.27
Namibia,Africa,2019,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056
Niger,Africa,2019,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,Asia,2019,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Iran,Asia,2019,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125
Guinea,Africa,2019,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086
Georgia,Europa,2019,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,Africa,2019,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,Africa,2019,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,Africa,2019,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088
Mozambique,Africa,2019,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,Africa,2019,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055
Bangladesh,Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,Asia,2019,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Congo (Kinshasa),Africa,2019,127,4.418,0.094,1.125,0.357,0.269,0.212,0.053
Mali,Africa,2019,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,Africa,2019,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,Asia,2019,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,Asia,2019,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Chad,Africa,2019,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078
Ukraine,Europa,2019,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01
Ethiopia,Africa,2019,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1
Swaziland,Africa,2019,135,4.212,0.811,1.149,0.0,0.313,0.074,0.135
Uganda,Africa,2019,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06
Egypt,Africa,2019,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,Africa,2019,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,Africa,2019,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085
India,Asia,2019,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,Africa,2019,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Comoros,Africa,2019,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,Africa,2019,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,Africa,2019,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,Africa,2019,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18
Zimbabwe,Africa,2019,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,North_America,2019,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11
Botswana,Africa,2019,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Syria,Asia,2019,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,Africa,2019,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Yemen,Asia,2019,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,Africa,2019,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,Africa,2019,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,Asia,2019,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025
Central African Republic,Africa,2019,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035
Sudan,Africa,2019,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091
Finland,Europa,2020,1,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
Denmark,Europa,2020,2,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328
Switzerland,Europa,2020,3,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901
Iceland,Europa,2020,4,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772
Norway,Europa,2020,5,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568
Netherlands,Europa,2020,6,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762
Sweden,Europa,2020,7,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371
New Zealand,Oceania,2020,8,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276
Austria,Europa,2020,9,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139
Luxembourg,Europa,2020,10,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469
Canada,North_America,2020,11,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856
Australia,Oceania,2020,12,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
United Kingdom,Europa,2020,13,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646
Israel,Asia,2020,14,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845
Costa Rica,North_America,2020,15,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092
Ireland,Europa,2020,16,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262
Germany,Europa,2020,17,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292
United States,North_America,2020,18,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741
Czech Republic,Europa,2020,19,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223
Belgium,Europa,2020,20,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052
United Arab Emirates,Asia,2020,21,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518
Malta,Europa,2020,22,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077
France,Europa,2020,23,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237
Mexico,North_America,2020,24,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668
Taiwan,Asia,2020,25,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352
Uruguay,South_America,2020,26,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074
Saudi Arabia,Asia,2020,27,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315
Spain,Europa,2020,28,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779
Guatemala,North_America,2020,29,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603
Italy,Europa,2020,30,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598
Singapore,Asia,2020,31,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236
Brazil,South_America,2020,32,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604
Slovenia,Europa,2020,33,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323
El Salvador,North_America,2020,34,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352
Kosovo,Europa,2020,35,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024
Panama,North_America,2020,36,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526
Slovakia,Europa,2020,37,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441
Uzbekistan,Asia,2020,38,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265
Chile,South_America,2020,39,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935
Bahrain,Asia,2020,40,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257
Lithuania,Europa,2020,41,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274
Trinidad and Tobago,South_America,2020,42,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396
Poland,Europa,2020,43,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251
Colombia,South_America,2020,44,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837
Cyprus,Europa,2020,45,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144
Nicaragua,South_America,2020,46,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574
Romania,Europa,2020,47,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569
Kuwait,Asia,2020,48,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933
Mauritius,Africa,2020,49,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229
Kazakhstan,Asia,2020,50,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686
Estonia,Europa,2020,51,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819
Philippines,Asia,2020,52,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727
Hungary,Europa,2020,53,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173
Thailand,Asia,2020,54,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862
Argentina,South_America,2020,55,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059
Honduras,North_America,2020,56,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102
Latvia,Europa,2020,57,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524
Ecuador,South_America,2020,58,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383
Portugal,Europa,2020,59,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466
Jamaica,North_America,2020,60,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785
South Korea,Asia,2020,61,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282
Japan,Asia,2020,62,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638
Peru,South_America,2020,63,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266
Serbia,Europa,2020,64,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147
Bolivia,South_America,2020,65,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637
Pakistan,Asia,2020,66,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121
Paraguay,South_America,2020,67,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379
Dominican Republic,North_America,2020,68,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682
Bosnia and Herzegovina,Europa,2020,69,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487
Moldova,Europa,2020,70,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744
Tajikistan,Asia,2020,71,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913
Montenegro,Europa,2020,72,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111
Russia,Asia,2020,73,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362
Kyrgyzstan,Asia,2020,74,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691
Belarus,Europa,2020,75,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435
Cyprus,Europa,2020,76,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905
Greece,Europa,2020,77,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352
Hong Kong,Asia,2020,78,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437
Croatia,Europa,2020,79,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006
Libya,Africa,2020,80,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079
Mongolia,Asia,2020,81,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126
Malaysia,Asia,2020,82,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133
Vietnam,Asia,2020,83,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459
Indonesia,Asia,2020,84,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613
Ivory Coast,Africa,2020,85,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794
Benin,Africa,2020,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
Maldives,Asia,2020,87,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492
Congo (Brazzaville),Africa,2020,88,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784
Azerbaijan,Asia,2020,89,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181
Macedonia,Europa,2020,90,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059
Ghana,Africa,2020,91,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381
Nepal,Asia,2020,92,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963
Turkey,Asia,2020,93,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243
China,Asia,2020,94,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554
Turkmenistan,Asia,2020,95,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389
Bulgaria,Europa,2020,96,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0
Morocco,Africa,2020,97,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604
Cameroon,Africa,2020,98,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422
Venezuela,South_America,2020,99,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777
Algeria,Africa,2020,100,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654
Senegal,Africa,2020,101,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937
Guinea,Africa,2020,102,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559
Niger,Africa,2020,103,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765
Laos,Asia,2020,104,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964
Albania,Europa,2020,105,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285
Cambodia,Africa,2020,106,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502
Bangladesh,Asia,2020,107,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908
Gabon,Africa,2020,108,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539
South Africa,Africa,2020,109,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214
Iraq,Asia,2020,110,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992
Lebanon,Asia,2020,111,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147
Burkina Faso,Africa,2020,112,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055
Gambia,Africa,2020,113,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795
Mali,Africa,2020,114,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276
Nigeria,Africa,2020,115,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935
Armenia,Asia,2020,116,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184
Georgia,Europa,2020,117,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076
Iran,Asia,2020,118,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513
Jordan,Asia,2020,119,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625
Mozambique,Africa,2020,120,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316
Kenya,Africa,2020,121,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078
Namibia,Africa,2020,122,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343
Ukraine,Europa,2020,123,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116
Liberia,Africa,2020,124,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876
Palestinian Territories,Asia,2020,125,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652
Uganda,Africa,2020,126,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842
Chad,Africa,2020,127,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408
Tunisia,Africa,2020,128,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573
Mauritania,Africa,2020,129,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635
Sri Lanka,Asia,2020,130,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564
Congo (Kinshasa),Africa,2020,131,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645
Swaziland,Africa,2020,132,4.308100224,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873
Myanmar,Asia,2020,133,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354
Comoros,Africa,2020,134,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535
Togo,Africa,2020,135,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456
Ethiopia,Africa,2020,136,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035
Madagascar,Africa,2020,137,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638
Egypt,Africa,2020,138,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793
Sierra Leone,Africa,2020,139,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936
Burundi,Africa,2020,140,3.775300026,0.0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828
Zambia,Africa,2020,141,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238
Haiti,North_America,2020,142,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672
Lesotho,Africa,2020,143,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823
India,Asia,2020,144,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982
Malawi,Africa,2020,145,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952
Yemen,Asia,2020,146,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127
Botswana,Africa,2020,147,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368
Tanzania,Africa,2020,148,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861
Central African Republic,Africa,2020,149,3.475899935,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264718
Rwanda,Africa,2020,150,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476
Zimbabwe,Africa,2020,151,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579
Sudan,Africa,2020,152,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799
Afghanistan,Asia,2020,153,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785
Finland,Europa,2021,1,7.842,1.446,1.106,0.741,0.691,0.124,0.481
Denmark,Europa,2021,2,7.62,1.502,1.108,0.763,0.686,0.208,0.485
Switzerland,Europa,2021,3,7.571,1.566,1.079,0.816,0.653,0.204,0.413
Iceland,Europa,2021,4,7.554,1.482,1.172,0.772,0.698,0.293,0.17
Netherlands,Europa,2021,5,7.464,1.501,1.079,0.753,0.647,0.302,0.384
Norway,Europa,2021,6,7.392,1.543,1.108,0.782,0.703,0.249,0.427
Sweden,Europa,2021,7,7.363,1.478,1.062,0.763,0.685,0.244,0.448
Luxembourg,Europa,2021,8,7.324,1.751,1.003,0.76,0.639,0.166,0.353
New Zealand,Oceania,2021,9,7.277,1.4,1.094,0.785,0.665,0.276,0.445
Austria,Europa,2021,10,7.268,1.492,1.062,0.782,0.64,0.215,0.292
Australia,Oceania,2021,11,7.183,1.453,1.076,0.801,0.647,0.291,0.317
Israel,Asia,2021,12,7.157,1.376,1.074,0.788,0.509,0.208,0.119
Germany,Europa,2021,13,7.155,1.48,0.993,0.757,0.6,0.195,0.306
Canada,North_America,2021,14,7.103,1.447,1.044,0.798,0.648,0.246,0.335
Ireland,Europa,2021,15,7.085,1.644,1.092,0.753,0.606,0.238,0.367
Costa Rica,North_America,2021,16,7.069,1.134,0.966,0.722,0.673,0.105,0.083
United Kingdom,Europa,2021,17,7.064,1.423,1.062,0.757,0.58,0.34,0.306
Czech Republic,Europa,2021,18,6.965,1.37,1.09,0.703,0.58,0.052,0.046
United States,North_America,2021,19,6.951,1.533,1.03,0.621,0.554,0.252,0.154
Belgium,Europa,2021,20,6.834,1.463,0.998,0.747,0.489,0.088,0.187
France,Europa,2021,21,6.69,1.421,1.081,0.804,0.536,0.092,0.235
Bahrain,Asia,2021,22,6.647,1.409,0.899,0.662,0.661,0.246,0.139
Malta,Europa,2021,23,6.602,1.411,1.055,0.747,0.664,0.275,0.183
Taiwan,Asia,2021,24,6.584,1.48,0.982,0.665,0.49,0.142,0.139
United Arab Emirates,Asia,2021,25,6.561,1.555,0.86,0.594,0.67,0.236,0.223
Saudi Arabia,Asia,2021,26,6.494,1.435,0.964,0.571,0.603,0.09,0.163
Spain,Europa,2021,27,6.491,1.375,1.057,0.826,0.462,0.135,0.124
Italy,Europa,2021,28,6.483,1.393,0.94,0.798,0.379,0.133,0.047
Slovenia,Europa,2021,29,6.461,1.36,1.093,0.722,0.69,0.122,0.085
Guatemala,North_America,2021,30,6.435,0.845,0.79,0.519,0.638,0.163,0.105
Uruguay,South_America,2021,31,6.431,1.164,1.042,0.649,0.625,0.128,0.223
Singapore,Asia,2021,32,6.377,1.695,1.019,0.897,0.664,0.176,0.547
Kosovo,Europa,2021,33,6.372,0.937,0.807,0.483,0.593,0.356,0.014
Slovakia,Europa,2021,34,6.331,1.304,1.066,0.653,0.468,0.107,0.018
Brazil,South_America,2021,35,6.33,1.028,0.944,0.571,0.514,0.142,0.117
